RegionID,SizeRank,RegionName,RegionType,StateName,State,StateCodeFIPS,MunicipalCodeFIPS,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,Home Type
1395,161,Solano County,County,CA,CA,6,95,457693.0,456261.0,455412.0,457602.0,458372.0,459509.0,462758.0,465459.0,466219.0,465056.0,463188.0,462810.0,single family
1325,186,Placer County,County,CA,CA,6,61,509226.0,510226.0,510250.0,510288.0,514275.0,517982.0,520496.0,522416.0,523989.0,524024.0,522663.0,522625.0,single family
3261,238,San Luis Obispo County,County,CA,CA,6,79,628199.0,625399.0,626538.0,628609.0,635330.0,637120.0,635220.0,634042.0,634679.0,637149.0,638243.0,638643.0,single family
3025,249,Santa Cruz County,County,CA,CA,6,87,871911.0,871688.0,866506.0,868084.0,867419.0,871430.0,871598.0,866622.0,864397.0,864064.0,865359.0,863473.0,single family
1196,251,Merced County,County,CA,CA,6,47,281048.0,280150.0,279317.0,280548.0,283200.0,285286.0,284937.0,284472.0,284094.0,284895.0,285092.0,285382.0,single family
625,255,Marin County,County,CA,CA,6,41,1285152.0,1280391.0,1278972.0,1275240.0,1278127.0,1278717.0,1274608.0,1265983.0,1258424.0,1257034.0,1261021.0,1266688.0,single family
418,283,Butte County,County,CA,CA,6,7,303086.0,311758.0,317751.0,321977.0,325361.0,329818.0,333046.0,335025.0,335589.0,336486.0,337769.0,337080.0,single family
340,307,Yolo County,County,CA,CA,6,113,461498.0,456255.0,455952.0,459163.0,462726.0,463121.0,463614.0,465168.0,465956.0,463021.0,460516.0,460152.0,single family
2691,338,El Dorado County,County,CA,CA,6,17,475528.0,477350.0,478019.0,476606.0,477184.0,478413.0,480383.0,479658.0,476791.0,475130.0,473036.0,471752.0,single family
1380,348,Shasta County,County,CA,CA,6,89,269559.0,271622.0,273209.0,273944.0,275398.0,278592.0,280783.0,281549.0,281222.0,280911.0,280738.0,280547.0,single family
2354,352,Imperial County,County,CA,CA,6,25,168355.0,167973.0,168396.0,169681.0,170825.0,171943.0,172509.0,171980.0,170271.0,169289.0,169492.0,171037.0,single family
580,407,Kings County,County,CA,CA,6,31,227985.0,228509.0,228945.0,228825.0,229644.0,230682.0,231070.0,230968.0,231154.0,232106.0,233404.0,234954.0,single family
1156,413,Madera County,County,CA,CA,6,39,269509.0,269567.0,269975.0,270506.0,272115.0,273375.0,274291.0,275004.0,276322.0,277334.0,278552.0,280441.0,single family
255,453,Napa County,County,CA,CA,6,55,728130.0,731758.0,731307.0,727822.0,725191.0,724338.0,722845.0,719079.0,716857.0,714808.0,714754.0,713462.0,single family
2351,457,Humboldt County,County,CA,CA,6,23,330474.0,330904.0,331380.0,332546.0,332782.0,333234.0,331587.0,331680.0,331938.0,333056.0,333664.0,333037.0,single family
1261,588,Nevada County,County,CA,CA,6,57,477616.0,476917.0,478712.0,484964.0,489179.0,489741.0,487312.0,483953.0,480641.0,477216.0,475382.0,475808.0,single family
1415,607,Sutter County,County,CA,CA,6,101,323671.0,325288.0,324937.0,324588.0,324999.0,326819.0,328829.0,330823.0,333320.0,335092.0,335587.0,335883.0,single family
2796,645,Mendocino County,County,CA,CA,6,45,442339.0,442968.0,439357.0,437163.0,434235.0,432499.0,429756.0,427095.0,425149.0,424394.0,421001.0,419143.0,single family
346,743,Yuba County,County,CA,CA,6,115,271284.0,273122.0,274277.0,275271.0,276613.0,279457.0,282065.0,284349.0,284560.0,285341.0,286488.0,288606.0,single family
