
Crimes,Alameda ,Alpine ,Amador ,Butte ,Calaveras ,Colusa ,Contra Costa ,Del Norte,El Dorado ,Fresno ,Glenn ,Humboldt ,Imperial ,Inyo ,Kern ,Kings ,Lake ,Lassen ,Los Angeles,Madera ,Marin ,Mariposa ,Mendocino ,Merced ,Modoc ,Mono ,Monterey ,Napa ,Nevada,Orange ,Placer ,Plumas ,Riverside ,Sacramento ,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin ,San Luis Obispo,San Mateo,Santa Barbara,Santa Cruz,Shasta ,Sierra ,Siskiyou ,Solano ,Sonoma ,Stanislaus ,Sutter ,Tehama ,Trinity ,Tulare ,Tuolumne ,Ventura ,Yolo ,Yuba 
Purse-Snatching,474,0,1,11,1,0,76,2,14,22,0,10,31,2,85,7,9,3,538,13,25,0,4,19,0,1,14,4,11,115,40,0,108,66,3,117,180,34,39,22,60,20,9,2,0,6,34,12,16,0,0,0,15,0,6,9,4
Shoplifting,"3,852",1,12,307,25,8,"3,176",106,203,"2,543",38,460,441,24,"2,484",265,77,33,"23,095",181,334,17,238,705,4,26,768,247,120,"8,180",847,14,"5,645","2,215",59,"6,344","5,243","2,341","3,065",804,"1,736",701,727,161,1,122,"1,274",751,"1,887",463,114,12,"1,284",74,"2,639",684,93
From Motor Vehicle,"26,744",5,92,"1,110",94,50,"10,027",52,516,"4,555",61,993,338,37,"6,097",489,89,56,"48,511",334,"2,001",18,131,"1,327",2,26,"1,602",669,159,"17,674","1,873",22,"13,116","9,271",71,"9,770","14,163","24,693","5,437","1,025","5,614","1,243","2,237",342,4,64,"3,026","1,521","3,206",573,226,6,"2,016",161,"3,106","1,673",311
Motor Vehicle Accessories,"4,550",1,27,134,51,3,"1,549",38,170,"1,795",11,143,117,6,"1,311",113,41,10,"20,669",67,226,6,36,324,3,1,608,54,25,"2,957",225,10,"1,777","3,530",26,"2,532","1,979",177,"1,843",203,721,276,390,124,0,27,763,359,445,84,63,23,765,50,702,426,86
Bicycles,"1,591",0,3,278,4,4,506,14,45,385,7,194,121,19,290,39,8,11,"5,283",63,324,1,33,100,0,8,232,106,28,"2,035",139,8,826,957,8,481,"2,502",547,234,392,714,649,397,19,1,11,149,323,254,58,18,0,231,14,519,"1,085",14
From Building,"1,697",5,98,244,77,18,"1,473",47,239,"1,275",4,299,17,62,744,263,85,38,"24,110",176,408,4,41,283,18,29,414,112,79,"3,635",562,26,"5,449","1,275",17,"2,053","9,394","2,537",844,327,"1,192",322,360,26,6,43,742,477,686,71,205,4,668,132,907,362,92
Coin Operated Machine,48,0,9,6,1,4,21,3,2,33,1,3,1,2,28,4,2,0,334,3,8,0,2,9,0,0,8,8,3,57,7,0,86,21,2,57,31,12,21,12,29,18,17,0,0,4,23,9,24,4,4,0,11,2,13,12,4
Other,"9,685",3,211,"1,246",216,95,"3,391",244,583,"4,378",212,484,"1,166",108,"5,016",473,271,80,"25,094",753,670,78,248,"1,307",11,46,904,376,254,"8,704",869,95,"10,094","6,850",94,"6,656","4,256","9,541","3,044","1,006","2,330","1,747",987,527,4,105,"1,318","1,497","2,620",442,300,77,"1,749",165,"1,515",869,360
Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over $400,"23,865",6,178,"1,277",170,74,"8,784",169,814,"4,760",113,902,545,83,"6,938",594,195,67,"68,658",643,"1,990",54,233,"1,432",14,57,"1,799",732,259,"18,787","2,059",73,"14,089","10,890",118,"11,241","17,292","28,648","5,524","1,311","5,965","1,771","2,197",384,6,123,"2,974","1,906","3,349",571,284,41,"2,701",239,"3,494","2,069",382
